#SampleID	SampleType	SamplingDate	Resource_ID	Resource_sex	Time_point	Sample_Taxon	observed_otus	shannon_div	pielou_e	faith_pd	Log2(observed_otus)	Log2(shannon_div)	Log2(pielou_e)	Log2(faith_pd)	PCoA1	PCoA2
AK_2015_21	Carcass	7.Aug.2015	SC_24	Female	T3	O_keta	53	3.466598949	0.605210735	2.809343198	5.727920455	1.793520941	-0.724490517	1.490232879	-0.071802742	0.026948743
AK_2015_22	Carcass	7.Aug.2015	SC_25	Female	T3	O_keta	66	3.835449232	0.634546516	3.05624165	6.044394119	1.939395565	-0.656202169	1.611758618	-0.039100004	-0.047501172
AK_2015_3	Carcass	2.Aug.2015	SC_3	Female	T1	O_keta	83	4.314719502	0.676814559	3.447289132	6.375039431	2.109266773	-0.563167492	1.785462306	0.213351376	0.117643591
AK_2015_4	Carcass	2.Aug.2015	SC_4	Female	T1	O_keta	83	4.348307675	0.68208326	4.152314425	6.375039431	2.120454025	-0.551980239	2.053915693	0.226028859	0.035801865
AK_2015_5	Carcass	4.Aug.2015	SC_1	Male	T2	O_keta	48	3.923676352	0.702543008	2.539046112	5.584962501	1.972206044	-0.509341549	1.344286596	0.187850324	-0.080791614
AK_2015_6	Carcass	4.Aug.2015	SC_2	Male	T2	O_keta	42	3.74259609	0.69406079	2.495918387	5.392317423	1.904039358	-0.526866067	1.319570761	0.09014881	-0.102063915
AK_2015_7	Carcass	4.Aug.2015	SC_22	Male	T1	O_keta	88	4.407868509	0.682392627	4.054683274	6.459431619	2.140081188	-0.551326036	2.019589225	-0.000489743	-0.007184086
AK_2015_8	Carcass	4.Aug.2015	SC_23	Female	T1	O_keta	86	4.596195094	0.715220314	4.508361049	6.426264755	2.200440037	-0.483540382	2.172603057	0.085111304	-0.003351865
AK_2015_9	Carcass	4.Aug.2015	SC_24	Female	T1	O_keta	73	4.127977093	0.666897269	3.257059881	6.189824559	2.045434965	-0.584463554	1.703570244	0.069826839	0.059342627
AK_2015_36	Aggregates	2.Aug.2015	SC_3	Female	T1	bf_mix	85	4.398532609	0.686263742	4.256239696	6.409390936	2.137022308	-0.543164961	2.0895794	0.053563554	0.02277928
AK_2015_37	Aggregates	2.Aug.2015	SC_4	Female	T1	bf_mix	85	4.765136047	0.743461601	3.879492475	6.409390936	2.252517404	-0.427669864	1.955867928	0.126370592	0.012094193
AK_2015_38	Aggregates	4.Aug.2015	SC_2	Male	T2	bf_mix	53	3.002104728	0.524117741	2.783888787	5.727920455	1.585974306	-0.932037151	1.477101578	-0.025345605	-0.09360684
AK_2015_39	Aggregates	4.Aug.2015	SC_4	Female	T2	bf_mix	60	4.273581222	0.723490837	2.996908204	5.906890596	2.095445542	-0.46695335	1.583474894	0.079950852	0.067571703
AK_2015_40	Aggregates	4.Aug.2015	SC_22	Male	T1	bf_mix	74	4.623660674	0.744616378	3.540488805	6.209453366	2.209035524	-0.425430746	1.823948555	0.034110464	0.088154226
AK_2015_41	Aggregates	5.Aug.2015	SC_1	Male	T3	bf_mix	55	4.390005547	0.759337901	2.697583349	5.781359714	2.134222763	-0.397186075	1.431667536	0.067544352	-0.079514841
AK_2015_42	Aggregates	5.Aug.2015	SC_2	Male	T3	bf_mix	42	2.414129522	0.447697962	2.478152486	5.392317423	1.271503081	-1.159402344	1.309264962	-0.065230273	-0.073729397
AK_2015_43	Aggregates	5.Aug.2015	SC_3	Female	T3	bf_mix	83	4.333536989	0.679766304	4.621428071	6.375039431	2.115545019	-0.556889246	2.208338729	0.040068489	0.03306284
AK_2015_44	Aggregates	5.Aug.2015	SC_22	Male	T2	bf_mix	49	3.675684382	0.654652597	2.405388272	5.614709844	1.878012893	-0.611198577	1.266269789	-0.153443473	0.093750377
AK_2015_45	Aggregates	5.Aug.2015	SC_23	Female	T2	bf_mix	58	3.362989899	0.574086857	3.060883845	5.857980995	1.749744446	-0.800659068	1.613948298	-0.01963895	-0.022626556
AK_2015_46	Aggregates	5.Aug.2015	SC_24	Female	T2	bf_mix	68	4.309081709	0.707861686	3.363081899	6.087462841	2.107380455	-0.498460605	1.749783912	-0.046921312	0.03982338
AK_2015_47	Aggregates	7.Aug.2015	SC_24	Female	T3	bf_mix	66	3.752290269	0.620788485	3.096456572	6.044394119	1.907771436	-0.687826298	1.630618212	-0.093739591	0.067339727
AK_2015_48	Aggregates	7.Aug.2015	SC_25	Female	T3	bf_mix	65	3.628343652	0.602477923	3.393442692	6.022367813	1.859311105	-0.731019718	1.762749649	-0.048101766	-0.053368103
