	AK_2015_1	AK_2015_10	AK_2015_11	AK_2015_12	AK_2015_13	AK_2015_14	AK_2015_15	AK_2015_16	AK_2015_17	AK_2015_18	AK_2015_19	AK_2015_2	AK_2015_20	AK_2015_21	AK_2015_22	AK_2015_23	AK_2015_24	AK_2015_25	AK_2015_26	AK_2015_27	AK_2015_28	AK_2015_29	AK_2015_3	AK_2015_30	AK_2015_31	AK_2015_32	AK_2015_33	AK_2015_34	AK_2015_35	AK_2015_36	AK_2015_37	AK_2015_38	AK_2015_39	AK_2015_4	AK_2015_40	AK_2015_41	AK_2015_42	AK_2015_43	AK_2015_44	AK_2015_45	AK_2015_46	AK_2015_47	AK_2015_48	AK_2015_5	AK_2015_6	AK_2015_7	AK_2015_8	AK_2015_9
AK_2015_19	0.330805047	0.210103272	0.214055535	0.130818733	0.122277455	0.10223178	0.114019063	0.142886794	0.132224823	0.129144534	0	0.325142199	0.131636599	0.042549796	0.122698784	0.140010941	0.152203605	0.156460055	0.150458244	0.152124369	0.152195059	0.126472845	0.306554263	0.138242927	0.128697541	0.142119773	0.124015485	0.147023468	0.16479666	0.141111394	0.212844793	0.161529959	0.15897327	0.302409955	0.165620502	0.191555495	0.146167736	0.14943826	0.186485501	0.123944055	0.086216792	0.083877711	0.129241471	0.288832163	0.208701032	0.140533735	0.16777888	0.159825118
AK_2015_2	0.112880873	0.147093728	0.15173771	0.292398618	0.257861068	0.3344914	0.329812409	0.291491289	0.279761465	0.333895765	0.325142199	0	0.34292116	0.339631929	0.302560991	0.341271266	0.320529742	0.357947992	0.395500288	0.334722962	0.334414294	0.312641818	0.169193581	0.340713572	0.331503051	0.345954976	0.339008566	0.348640674	0.33551722	0.215218632	0.15509564	0.299308172	0.197347942	0.074592596	0.24285527	0.208122941	0.337293364	0.22790705	0.423780669	0.289884894	0.308516953	0.359680429	0.312654594	0.11309939	0.172187883	0.260854867	0.180943657	0.205625413
AK_2015_20	0.32354767	0.259495561	0.217853793	0.085045859	0.166544605	0.041735244	0.190501522	0.133842664	0.171002729	0.157626979	0.131636599	0.34292116	0	0.102202848	0.087201058	0.114972769	0.093993119	0.108753719	0.185373228	0.140415297	0.122869207	0.06982546	0.352024973	0.040358839	0.115682659	0.120676278	0.075894924	0.056020258	0.112700379	0.170585412	0.223936927	0.089433435	0.196490043	0.325617681	0.205354796	0.161974081	0.037835894	0.14679154	0.203189556	0.08343073	0.133585337	0.14809682	0.077007462	0.273740124	0.216624218	0.199001843	0.187461258	0.187395283
AK_2015_21	0.345286122	0.223234661	0.229801173	0.125797216	0.118297891	0.072149809	0.126006596	0.133372886	0.139447427	0.127634291	0.042549796	0.339631929	0.102202848	0	0.109745302	0.114384191	0.139403152	0.128961097	0.135616195	0.138125488	0.135018542	0.12354134	0.327678463	0.110656098	0.118922718	0.119062976	0.09355117	0.125027709	0.145680427	0.146989746	0.223708199	0.156696148	0.158598937	0.315577723	0.175564125	0.202828284	0.125485607	0.137000445	0.171125958	0.107859656	0.087341272	0.084124467	0.115922041	0.303039112	0.221743773	0.15243421	0.175367225	0.163036298
AK_2015_22	0.279128005	0.209029137	0.172621621	0.076555677	0.155306981	0.068771967	0.138983729	0.11450993	0.132390881	0.117064124	0.122698784	0.302560991	0.087201058	0.109745302	0	0.108726674	0.061232472	0.106567215	0.177553684	0.088187008	0.074011881	0.070928166	0.316165934	0.076749569	0.099850645	0.099231018	0.076869866	0.088854292	0.057937066	0.127490817	0.181189789	0.067909396	0.176854959	0.287822129	0.178022065	0.133774645	0.086009807	0.142222468	0.208883422	0.089484185	0.115671744	0.149184411	0.02385339	0.244747327	0.179950788	0.149561442	0.143364457	0.172788083
AK_2015_23	0.344028542	0.251871509	0.217020241	0.107558391	0.145013258	0.095814279	0.138009319	0.092676021	0.111797279	0.081420986	0.140010941	0.341271266	0.114972769	0.114384191	0.108726674	0	0.092121983	0.03566643	0.104559852	0.055515043	0.050508873	0.095097081	0.342606436	0.088434671	0.04022008	0.037980783	0.065818895	0.077621069	0.082127206	0.162448561	0.219230058	0.142803594	0.200450446	0.317122541	0.148636934	0.198847407	0.119877537	0.134450891	0.141570573	0.110634161	0.087830023	0.097640469	0.105130304	0.297519577	0.238995361	0.167645777	0.190652206	0.173526885
AK_2015_24	0.29450135	0.229914115	0.186853544	0.064923333	0.15393488	0.088464204	0.164445021	0.10467432	0.123666525	0.123906349	0.152203605	0.320529742	0.093993119	0.139403152	0.061232472	0.092121983	0	0.087356968	0.175104147	0.077014774	0.06109974	0.056672861	0.321349751	0.06235829	0.08624759	0.094614208	0.06648601	0.056191127	0.055541978	0.147833119	0.197374078	0.071004833	0.199773301	0.300617341	0.166333377	0.142239137	0.08521835	0.150759431	0.2131042	0.098001356	0.111876204	0.151493284	0.045670114	0.252589654	0.204197178	0.16952517	0.168294077	0.181833227
AK_2015_25	0.345803106	0.27406347	0.226553579	0.101231001	0.165678155	0.091588986	0.150087144	0.099970853	0.126187032	0.09017286	0.156460055	0.357947992	0.108753719	0.128961097	0.106567215	0.03566643	0.087356968	0	0.101075783	0.053731599	0.047995381	0.094788657	0.364361197	0.080431525	0.049122863	0.043179257	0.05566458	0.072739039	0.063202102	0.182866657	0.239492204	0.134451088	0.216265475	0.337753602	0.163822974	0.207113873	0.106278553	0.161375078	0.149115261	0.110849017	0.107146203	0.115157237	0.096175122	0.304866991	0.249242793	0.18444573	0.203151137	0.198001171
AK_2015_26	0.39979895	0.275867115	0.27733664	0.181976451	0.172004637	0.154196045	0.117867196	0.159644936	0.140841723	0.0878371	0.150458244	0.395500288	0.185373228	0.135616195	0.177553684	0.104559852	0.175104147	0.101075783	0	0.109359223	0.123061837	0.182015165	0.373899447	0.167911396	0.108009967	0.094806227	0.121435996	0.162637298	0.146399116	0.202983573	0.277915401	0.22491632	0.23227581	0.371215502	0.178182813	0.259687848	0.19498785	0.209758799	0.088551645	0.179304156	0.118922029	0.09583649	0.17912695	0.359348938	0.283484472	0.18092287	0.235845304	0.219048411
AK_2015_27	0.327759387	0.243311	0.211724453	0.114014729	0.161411327	0.121589127	0.126275396	0.102494064	0.098863184	0.074019216	0.152124369	0.334722962	0.140415297	0.138125488	0.088187008	0.055515043	0.077014774	0.053731599	0.109359223	0	0.040943693	0.106596658	0.338720359	0.111379414	0.054310263	0.053096778	0.087351912	0.105622073	0.057024346	0.15280767	0.21108674	0.125043437	0.20364335	0.314409542	0.146696051	0.18715961	0.132536358	0.161716736	0.165517683	0.131223177	0.101237008	0.117353176	0.084491054	0.292762126	0.234710435	0.159520151	0.181342589	0.191048851
AK_2015_28	0.318214686	0.248394628	0.203750799	0.105288387	0.169138005	0.10463538	0.124345387	0.107493568	0.108566802	0.075276026	0.152195059	0.334414294	0.122869207	0.135018542	0.074011881	0.050508873	0.06109974	0.047995381	0.123061837	0.040943693	0	0.096073222	0.342325674	0.094330524	0.048940492	0.042371191	0.067067035	0.087115746	0.04861631	0.160231166	0.21628327	0.112851081	0.211394829	0.316712922	0.156549894	0.180683696	0.118074558	0.166301787	0.161140121	0.122856364	0.107994452	0.116296726	0.071908131	0.284249335	0.226687766	0.159641662	0.181380339	0.197635146
AK_2015_29	0.294910658	0.225555893	0.174018903	0.045015435	0.144668787	0.07239068	0.179990663	0.098166137	0.135185172	0.139147371	0.126472845	0.312641818	0.06982546	0.12354134	0.070928166	0.095097081	0.056672861	0.094788657	0.182015165	0.106596658	0.096073222	0	0.313292587	0.040615829	0.082925578	0.102313763	0.071988924	0.050906867	0.088370727	0.130629749	0.183700419	0.062819089	0.174017753	0.287551364	0.16791107	0.120891513	0.058450083	0.127244935	0.218871969	0.073164574	0.102511669	0.142509219	0.054158015	0.236119817	0.19068503	0.176628231	0.155386361	0.155920834
AK_2015_3	0.274640259	0.153324323	0.224630624	0.302533608	0.239941848	0.342700263	0.323311991	0.297119473	0.271451858	0.327456411	0.306554263	0.169193581	0.352024973	0.327678463	0.316165934	0.342606436	0.321349751	0.364361197	0.373899447	0.338720359	0.342325674	0.313292587	0	0.347076628	0.336105901	0.353749201	0.347135791	0.35445287	0.346240675	0.21653456	0.16328855	0.323499623	0.181867174	0.100720521	0.222145618	0.267143837	0.345208678	0.229988015	0.403724836	0.297714527	0.302696951	0.338395629	0.322764877	0.250741326	0.314836481	0.332279306	0.21667591	0.19453414
AK_2015_30	0.32110522	0.254309453	0.205310496	0.06019889	0.156155439	0.051353669	0.183217549	0.111547733	0.158035629	0.143216413	0.138242927	0.340713572	0.040358839	0.110656098	0.076749569	0.088434671	0.06235829	0.080431525	0.167911396	0.111379414	0.094330524	0.040615829	0.347076628	0	0.086953671	0.092634585	0.053358982	0.025848834	0.086886065	0.163560541	0.218592421	0.077495389	0.198524104	0.321442008	0.190149338	0.157648657	0.034848133	0.142778737	0.203117267	0.079367454	0.120058558	0.147510521	0.059532021	0.271476815	0.220107651	0.191520546	0.184693407	0.178125589
AK_2015_31	0.329542153	0.239384196	0.20317982	0.088288863	0.132664583	0.093584274	0.12404165	0.074111504	0.095228865	0.075565825	0.128697541	0.331503051	0.115682659	0.118922718	0.099850645	0.04022008	0.08624759	0.049122863	0.108009967	0.054310263	0.048940492	0.082925578	0.336105901	0.086953671	0	0.032414949	0.060286179	0.074201942	0.078972781	0.151977478	0.206808331	0.128961296	0.186596355	0.310914099	0.130659903	0.186634996	0.111797211	0.130656894	0.144251008	0.096037719	0.072870828	0.079556327	0.096253828	0.286332746	0.22592256	0.151429918	0.174284467	0.163109688
AK_2015_32	0.347548647	0.255719839	0.225297241	0.104462822	0.15079634	0.100922588	0.123040403	0.086569475	0.109721942	0.063235202	0.142119773	0.345954976	0.120676278	0.119062976	0.099231018	0.037980783	0.094614208	0.043179257	0.094806227	0.053096778	0.042371191	0.102313763	0.353749201	0.092634585	0.032414949	0	0.063734848	0.086765292	0.073760769	0.163568724	0.228815606	0.141292404	0.197891633	0.327182025	0.141720299	0.204407046	0.116149371	0.151537495	0.12710347	0.118021143	0.088382273	0.094090082	0.095904154	0.308341535	0.249160985	0.163170846	0.195755334	0.182022202
AK_2015_33	0.324173064	0.241702247	0.202363048	0.070105922	0.130466383	0.052159122	0.144816629	0.080508604	0.12690382	0.109470003	0.124015485	0.339008566	0.075894924	0.09355117	0.076869866	0.065818895	0.06648601	0.05566458	0.121435996	0.087351912	0.067067035	0.071988924	0.347135791	0.053358982	0.060286179	0.063734848	0	0.052281365	0.072300518	0.149261243	0.212884582	0.112451973	0.186245508	0.321397101	0.159683542	0.181870348	0.080530406	0.133279174	0.164049641	0.069142837	0.085817571	0.110038798	0.070822463	0.284065343	0.213837182	0.152436982	0.169584121	0.163198991
AK_2015_34	0.327514007	0.263746296	0.21039775	0.067979019	0.154960738	0.064183899	0.172350776	0.104440723	0.145490657	0.132810608	0.147023468	0.348640674	0.056020258	0.125027709	0.088854292	0.077621069	0.056191127	0.072739039	0.162637298	0.105622073	0.087115746	0.050906867	0.35445287	0.025848834	0.074201942	0.086765292	0.052281365	0	0.079056813	0.173345718	0.229917871	0.087320537	0.209020324	0.327469555	0.178081992	0.167433478	0.050676597	0.146640208	0.19356615	0.085783599	0.109854034	0.1313609	0.071085928	0.276648344	0.22921398	0.18168338	0.195449595	0.186446158
AK_2015_35	0.308775119	0.249492467	0.201924411	0.094189558	0.181102952	0.101136413	0.141341334	0.111252899	0.12539258	0.106070266	0.16479666	0.33551722	0.112700379	0.145680427	0.057937066	0.082127206	0.055541978	0.063202102	0.146399116	0.057024346	0.04861631	0.088370727	0.346240675	0.086886065	0.078972781	0.073760769	0.072300518	0.079056813	0	0.170475754	0.217517313	0.087954622	0.221675522	0.317243628	0.167587224	0.164168735	0.105035044	0.178949212	0.191656939	0.123700905	0.117970708	0.146496707	0.059306885	0.268027593	0.219296166	0.160720356	0.182043044	0.210795653
AK_2015_36	0.22464246	0.120206855	0.107460045	0.110340319	0.071507295	0.146565777	0.176126779	0.105836191	0.093912244	0.152754371	0.141111394	0.215218632	0.170585412	0.146989746	0.127490817	0.162448561	0.147833119	0.182866657	0.202983573	0.15280767	0.160231166	0.130629749	0.21653456	0.163560541	0.151977478	0.163568724	0.149261243	0.173345718	0.170475754	0	0.091980786	0.154434555	0.083942718	0.191096518	0.096689422	0.124660199	0.167571213	0.067404879	0.248638972	0.100955183	0.115674091	0.171341751	0.131152879	0.177994042	0.174080475	0.174420952	0.052130613	0.076665762
AK_2015_37	0.163516487	0.077829257	0.077606711	0.168409813	0.134631648	0.211743176	0.217910038	0.170489604	0.162197972	0.219404838	0.212844793	0.15509564	0.223936927	0.223708199	0.181189789	0.219230058	0.197374078	0.239492204	0.277915401	0.21108674	0.21628327	0.183700419	0.16328855	0.218592421	0.206808331	0.228815606	0.212884582	0.229917871	0.217517313	0.091980786	0	0.188312032	0.099838982	0.124349213	0.122080395	0.117703253	0.22107987	0.106922305	0.309690675	0.163071571	0.188408907	0.243463133	0.192862535	0.12100744	0.173580276	0.198908809	0.065431067	0.082702561
AK_2015_38	0.2733189	0.228492167	0.186671153	0.083179656	0.192260657	0.108703722	0.187914088	0.141475864	0.167941609	0.166775038	0.161529959	0.299308172	0.089433435	0.156696148	0.067909396	0.142803594	0.071004833	0.134451088	0.22491632	0.125043437	0.112851081	0.062819089	0.323499623	0.077495389	0.128961296	0.141292404	0.112451973	0.087320537	0.087954622	0.154434555	0.188312032	0	0.206970655	0.282830391	0.211536798	0.11635956	0.0601835	0.175819495	0.261239995	0.11245295	0.151756392	0.186849296	0.063798033	0.234056668	0.186167053	0.180889876	0.149848559	0.205250276
AK_2015_39	0.216287271	0.096399261	0.1397101	0.147628593	0.076917404	0.173307698	0.217400836	0.138883729	0.131598742	0.195287092	0.15897327	0.197347942	0.196490043	0.158598937	0.176854959	0.200450446	0.199773301	0.216265475	0.23227581	0.20364335	0.211394829	0.174017753	0.181867174	0.198524104	0.186596355	0.197891633	0.186245508	0.209020324	0.221675522	0.083942718	0.099838982	0.206970655	0	0.169233643	0.079487016	0.195070987	0.199001228	0.075276219	0.268333831	0.134906422	0.13807568	0.183083534	0.182115224	0.19907783	0.235821173	0.220892685	0.107598415	0.053236244
AK_2015_4	0.180180255	0.12597282	0.138244922	0.275802909	0.229158667	0.316399196	0.307146973	0.272057349	0.256071957	0.31172294	0.302409955	0.074592596	0.325617681	0.315577723	0.287822129	0.317122541	0.300617341	0.337753602	0.371215502	0.314409542	0.316712922	0.287551364	0.100720521	0.321442008	0.310914099	0.327182025	0.321397101	0.327469555	0.317243628	0.191096518	0.124349213	0.282830391	0.169233643	0	0.216440042	0.188269453	0.317569777	0.205033027	0.398184233	0.270362565	0.282313629	0.334190807	0.29685952	0.157229671	0.222948244	0.247481287	0.163953586	0.174421521
AK_2015_40	0.254714392	0.128080718	0.130998709	0.139685161	0.06493049	0.186835133	0.172880009	0.104853492	0.075537753	0.136952745	0.165620502	0.24285527	0.205354796	0.175564125	0.178022065	0.148636934	0.166333377	0.163822974	0.178182813	0.146696051	0.156549894	0.16791107	0.222145618	0.190149338	0.130659903	0.141720299	0.159683542	0.178081992	0.167587224	0.096689422	0.122080395	0.211536798	0.079487016	0.216440042	0	0.196729948	0.207189252	0.072832879	0.208686124	0.13983184	0.106346019	0.137394768	0.177634158	0.211771554	0.252480105	0.193099572	0.123633223	0.071625601
AK_2015_41	0.189345157	0.1742932	0.093485397	0.118907314	0.177174099	0.171183036	0.199033917	0.158494651	0.149504209	0.196684086	0.191555495	0.208122941	0.161974081	0.202828284	0.133774645	0.198847407	0.142239137	0.207113873	0.259687848	0.18715961	0.180683696	0.120891513	0.267143837	0.157648657	0.186634996	0.204407046	0.181870348	0.167433478	0.164168735	0.124660199	0.117703253	0.11635956	0.195070987	0.188269453	0.196729948	0	0.154884581	0.167227307	0.289249192	0.13220294	0.16869393	0.22328012	0.13705269	0.135748457	0.102764887	0.14628849	0.098980917	0.178421283
AK_2015_42	0.314888156	0.263352275	0.220516494	0.074336972	0.178169567	0.070442133	0.199089853	0.12718567	0.179153874	0.163469637	0.146167736	0.337293364	0.037835894	0.125485607	0.086009807	0.119877537	0.08521835	0.106278553	0.19498785	0.132536358	0.118074558	0.058450083	0.345208678	0.034848133	0.111797211	0.116149371	0.080530406	0.050676597	0.105035044	0.167571213	0.22107987	0.0601835	0.199001228	0.317569777	0.207189252	0.154884581	0	0.163871335	0.230217473	0.092776184	0.141486455	0.170915531	0.069700787	0.26775667	0.218998673	0.207647565	0.182104277	0.193483147
AK_2015_43	0.240369516	0.128600223	0.10741682	0.102158501	0.051455447	0.124504429	0.206489278	0.092904838	0.103267307	0.172120091	0.14943826	0.22790705	0.14679154	0.137000445	0.142222468	0.134450891	0.150759431	0.161375078	0.209758799	0.161716736	0.166301787	0.127244935	0.229988015	0.142778737	0.130656894	0.151537495	0.133279174	0.146640208	0.178949212	0.067404879	0.106922305	0.175819495	0.075276219	0.205033027	0.072832879	0.167227307	0.163871335	0	0.233162278	0.08205684	0.111060522	0.152983632	0.145483825	0.188857027	0.212119976	0.202206707	0.087545561	0.052199265
AK_2015_44	0.429215862	0.30486828	0.306276465	0.219271142	0.206819673	0.184299777	0.141555495	0.195307631	0.168288917	0.114086459	0.186485501	0.423780669	0.203189556	0.171125958	0.208883422	0.141570573	0.2131042	0.149115261	0.088551645	0.165517683	0.161140121	0.218871969	0.403724836	0.203117267	0.144251008	0.12710347	0.164049641	0.19356615	0.191656939	0.248638972	0.309690675	0.261239995	0.268333831	0.398184233	0.208686124	0.289249192	0.230217473	0.233162278	0	0.21026038	0.156188478	0.117461597	0.213070079	0.386679563	0.317530215	0.209659638	0.280698095	0.252791912
AK_2015_45	0.275195666	0.193386686	0.155040452	0.038496805	0.097487666	0.056353338	0.18188908	0.063997074	0.108418295	0.153197696	0.123944055	0.289884894	0.08343073	0.107859656	0.089484185	0.110634161	0.098001356	0.110849017	0.179304156	0.131223177	0.122856364	0.073164574	0.297714527	0.079367454	0.096037719	0.118021143	0.069142837	0.085783599	0.123700905	0.100955183	0.163071571	0.11245295	0.134906422	0.270362565	0.13983184	0.13220294	0.092776184	0.08205684	0.21026038	0	0.094371088	0.130077065	0.084440293	0.231644474	0.166989506	0.177706061	0.121300858	0.117428446
AK_2015_46	0.31729316	0.192944357	0.188838586	0.091723384	0.079823539	0.099595238	0.111295809	0.073147786	0.062023597	0.082786598	0.086216792	0.308516953	0.133585337	0.087341272	0.115671744	0.087830023	0.111876204	0.107146203	0.118922029	0.101237008	0.107994452	0.102511669	0.302696951	0.120058558	0.072870828	0.088382273	0.085817571	0.109854034	0.117970708	0.115674091	0.188408907	0.151756392	0.13807568	0.282313629	0.106346019	0.16869393	0.141486455	0.111060522	0.156188478	0.094371088	0	0.06506355	0.120296963	0.273380477	0.194325265	0.114416826	0.149656862	0.11995444
AK_2015_47	0.365525256	0.238096988	0.238732334	0.143089609	0.115723726	0.115024872	0.072792234	0.122207461	0.10009519	0.090476401	0.083877711	0.359680429	0.14809682	0.084124467	0.149184411	0.097640469	0.151493284	0.115157237	0.09583649	0.117353176	0.116296726	0.142509219	0.338395629	0.147510521	0.079556327	0.094090082	0.110038798	0.1313609	0.146496707	0.171341751	0.243463133	0.186849296	0.183083534	0.334190807	0.137394768	0.22328012	0.170915531	0.152983632	0.117461597	0.130077065	0.06506355	0	0.15286644	0.322037672	0.245003049	0.136025488	0.20180382	0.173021576
AK_2015_48	0.289456758	0.223983511	0.181108267	0.061177092	0.159294557	0.06659292	0.155391623	0.1109325	0.136716734	0.121540883	0.129241471	0.312654594	0.077007462	0.115922041	0.02385339	0.105130304	0.045670114	0.096175122	0.17912695	0.084491054	0.071908131	0.054158015	0.322764877	0.059532021	0.096253828	0.095904154	0.070822463	0.071085928	0.059306885	0.131152879	0.192862535	0.063798033	0.182115224	0.29685952	0.177634158	0.13705269	0.069700787	0.145483825	0.213070079	0.084440293	0.120296963	0.15286644	0	0.249182948	0.195263865	0.165653773	0.157791997	0.176215613
AK_2015_5	0.075132154	0.168438978	0.086787806	0.226561163	0.222050558	0.270684129	0.295814709	0.254317778	0.247822522	0.301833066	0.288832163	0.11309939	0.273740124	0.303039112	0.244747327	0.297519577	0.252589654	0.304866991	0.359348938	0.292762126	0.284249335	0.236119817	0.250741326	0.271476815	0.286332746	0.308341535	0.284065343	0.276648344	0.268027593	0.177994042	0.12100744	0.234056668	0.19907783	0.157229671	0.211771554	0.135748457	0.26775667	0.188857027	0.386679563	0.231644474	0.273380477	0.322037672	0.249182948	0	0.094244651	0.227027431	0.138663265	0.179750343
AK_2015_6	0.133737399	0.213249915	0.138307274	0.171389091	0.212402433	0.193347166	0.214259557	0.20565015	0.199837706	0.233326251	0.208701032	0.172187883	0.216624218	0.221743773	0.179950788	0.238995361	0.204197178	0.249242793	0.283484472	0.234710435	0.226687766	0.19068503	0.314836481	0.220107651	0.22592256	0.249160985	0.213837182	0.22921398	0.219296166	0.174080475	0.173580276	0.186167053	0.235821173	0.222948244	0.252480105	0.102764887	0.218998673	0.212119976	0.317530215	0.166989506	0.194325265	0.245003049	0.195263865	0.094244651	0	0.14576288	0.139800166	0.223065825
